City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Quatre Cocos,-20.2078,57.7625,69.91,74,32,16.58,MU,1632175017
Napāsar,27.9667,73.55,87.94,63,46,6.2,IN,1632175018
Piaçabuçu,-10.4056,-36.4344,74.01,76,77,7.47,BR,1632175018
Fare,-16.7,-151.0167,78.67,71,6,14.2,PF,1632175019
Tazovsky,67.4667,78.7,33.39,76,100,14.54,RU,1632175019
Gumdag,39.2061,54.5906,74.16,23,0,22.48,TM,1632175020
Tuktoyaktuk,69.4541,-133.0374,42.8,81,90,13.8,CA,1632175020
Sibolga,1.7427,98.7792,75.38,83,99,3.18,ID,1632175021
Odesa,46.4775,30.7326,55.33,88,75,4.47,UA,1632175021
Tromsø,69.6496,18.957,44.62,53,0,9.22,NO,1632175022
Isangel,-19.55,169.2667,78.91,65,75,9.22,VU,1632175022
Port Blair,11.6667,92.75,80.29,84,100,9.28,IN,1632175023
Kafanchan,9.5833,8.3,68.95,89,35,1.54,NG,1632175023
Norcross,33.9412,-84.2135,73.49,100,90,0.0,US,1632174796
Tadine,-21.55,167.8833,71.65,61,100,13.85,NC,1632175024
Magway,20.15,94.9167,76.17,91,99,1.54,MM,1632175025
Prince Rupert,54.3161,-130.3201,55.09,90,90,12.66,CA,1632175025
George Town,5.4112,100.3354,78.73,94,20,2.3,MY,1632174962
Torbay,47.6666,-52.7314,45.37,76,75,24.16,CA,1632175026
Yellowknife,62.456,-114.3525,46.92,81,75,6.91,CA,1632175026
Cooma,-36.2333,149.1333,35.37,93,75,17.27,AU,1632175026
Wheatley,51.7473,-1.1394,59.92,82,20,1.14,GB,1632175027
Talakan,50.3167,130.3667,46.27,80,100,4.21,RU,1632175027
Eureka,40.8021,-124.1637,67.39,65,2,9.17,US,1632175028
Khatanga,71.9667,102.5,30.56,98,92,0.67,RU,1632175029
College,64.8569,-147.8028,35.58,55,75,5.75,US,1632175029
Glenwood Springs,39.5505,-107.3248,60.03,42,1,9.22,US,1632175030
Ugoofaaru,5.6667,73.0,82.33,74,56,9.04,MV,1632175030
Kahului,20.8947,-156.47,80.42,66,56,11.12,US,1632175030
Vilyaka,57.1846,27.6722,39.94,98,100,9.66,LV,1632175031
Cherskiy,68.75,161.3,28.2,66,89,5.77,RU,1632175031
Mauá,-23.6678,-46.4614,91.69,61,13,2.82,BR,1632175032
Kenai,60.5544,-151.2583,51.89,71,90,14.97,US,1632174749
Tiksi,71.6872,128.8694,32.79,72,100,5.32,RU,1632175032
Hasaki,35.7333,140.8333,64.8,64,46,7.92,JP,1632175033
Mogadouro,41.3403,-6.7119,56.25,57,56,16.31,PT,1632175033
Vila do Maio,15.1333,-23.2167,81.39,88,90,9.64,CV,1632175034
Pevek,69.7008,170.3133,26.74,82,95,3.13,RU,1632175034
Vera Cruz,-12.6333,-41.0333,78.93,40,99,8.34,BR,1632175035
Butaritari,3.0707,172.7902,82.8,72,87,14.79,KI,1632175035
Grenville,12.1167,-61.6167,86.05,70,86,10.76,GD,1632175036
Bengkulu,-3.8004,102.2655,76.06,89,96,3.02,ID,1632175036
New Norfolk,-42.7826,147.0587,45.9,84,69,4.12,AU,1632175036
Zaysan,47.4667,84.8667,40.1,37,1,5.35,KZ,1632175037
Upata,8.0086,-62.3989,74.68,90,91,3.36,VE,1632175037
Sinegor'ye,62.0788,150.477,26.82,95,100,5.12,RU,1632175038
Nanortalik,60.1432,-45.2371,37.98,70,2,11.23,GL,1632175038
Lapa,-25.7697,-49.7158,82.38,62,8,2.91,BR,1632175039
Dingle,10.9995,122.6711,74.55,95,95,0.78,PH,1632175039
Nuuk,64.1835,-51.7216,34.97,70,21,10.83,GL,1632175040
Conceição do Araguaia,-8.2578,-49.2647,94.21,17,99,2.77,BR,1632175040
Akureyri,65.6835,-18.0878,44.53,76,75,8.05,IS,1632174779
Barcelona,41.3888,2.159,63.91,77,40,5.75,ES,1632174766
Chui,-33.6971,-53.4616,59.65,95,82,15.14,UY,1632175041
Kruisfontein,-34.0033,24.7314,55.72,54,77,19.06,ZA,1632175041
Tigzirt,36.8886,4.1198,73.4,80,31,12.5,DZ,1632175042
Lavrentiya,65.5833,-171.0,34.57,63,13,7.05,RU,1632175042
Luanda,-8.8368,13.2343,71.55,87,7,11.21,AO,1632175043
Zhenlai,45.8495,123.2973,54.7,96,100,16.37,CN,1632175043
Buckeye,33.3703,-112.5838,97.41,11,1,5.75,US,1632175000
Yangi Marg`ilon,40.4272,71.7189,63.32,51,0,6.91,UZ,1632175044
Bambous Virieux,-20.3428,57.7575,70.05,68,75,13.8,MU,1632175045
Baykit,61.67,96.37,39.13,91,100,7.58,RU,1632175045
Ahipara,-35.1667,173.1667,59.76,68,15,7.43,NZ,1632175046
Saskylakh,71.9167,114.0833,30.45,98,100,5.06,RU,1632175046
Tura,25.5198,90.2201,70.68,98,39,4.07,IN,1632175047
Kamenka,51.3223,42.7678,48.56,80,99,12.08,RU,1632175047
Parrita,9.5201,-84.3225,89.37,76,98,4.29,CR,1632175048
Beringovskiy,63.05,179.3167,42.21,95,100,7.16,RU,1632175048
Uvat,59.1433,68.8953,34.36,91,98,7.96,RU,1632175049
Ostrovnoy,68.0531,39.5131,35.87,85,60,11.99,RU,1632175049
Cape Town,-33.9258,18.4232,50.41,76,20,5.75,ZA,1632174782
Dikson,73.5069,80.5464,35.26,75,100,8.41,RU,1632175050
San Juan,-31.5375,-68.5364,61.47,29,0,19.04,AR,1632175051
Geraldton,-28.7667,114.6,59.41,55,0,9.22,AU,1632175051
Carballo,43.213,-8.691,60.49,92,3,5.41,ES,1632175052
Nampula,-15.1165,39.2666,66.15,77,0,3.44,MZ,1632175052
Kamaishi,39.2667,141.8833,66.25,82,4,7.25,JP,1632175053
Polovinnoye,54.7914,65.9864,38.05,79,62,9.06,RU,1632175053
Socorro,31.6546,-106.3033,94.19,20,0,15.5,US,1632175054
Tabuk,17.4189,121.4443,73.38,90,38,3.49,PH,1632175054
Igarassu,-7.8342,-34.9064,77.02,71,36,9.01,BR,1632175055
Wencheng,33.0559,113.7978,69.13,83,0,11.99,CN,1632175055
Kaitangata,-46.2817,169.8464,50.22,75,100,6.26,NZ,1632175055
Honningsvåg,70.9821,25.9704,43.7,69,10,31.45,NO,1632175056
Shigony,53.3875,48.6777,48.67,49,100,10.6,RU,1632175056
Esperance,-33.8667,121.9,42.64,87,11,12.33,AU,1632175057
Yichang,30.7144,111.2847,67.64,88,0,5.57,CN,1632175057
Shache,38.4167,77.2406,75.16,14,90,6.82,CN,1632175058
Dukat,62.55,155.55,37.27,98,100,5.5,RU,1632175058
Sola,-13.8833,167.55,79.47,78,90,9.22,VU,1632175059
Mossamedes,-15.1961,12.1522,63.07,81,10,5.35,AO,1632175059
Qaanaaq,77.484,-69.3632,14.38,72,90,8.72,GL,1632175060
Kotma,23.2,81.9667,73.38,91,5,2.01,IN,1632175060
Alofi,-19.0595,-169.9187,80.49,78,75,8.05,NU,1632175060
Kaeo,-35.1,173.7833,59.41,69,9,5.75,NZ,1632175061
Yeppoon,-23.1333,150.7333,67.78,73,35,6.91,AU,1632175061
Makkah al Mukarramah,21.4267,39.8261,90.16,33,89,4.59,SA,1632175062
Bariloche,-41.1456,-71.3082,60.55,59,0,5.75,AR,1632175063
Vardø,70.3705,31.1107,43.0,73,43,25.9,NO,1632175063
Barcelos,41.5388,-8.6151,66.34,69,0,7.85,PT,1632175064
Saldanha,-33.0117,17.9442,48.25,66,0,18.23,ZA,1632175064
Souillac,-20.5167,57.5167,70.18,68,75,13.8,MU,1632175065
Vila Franca do Campo,37.7167,-25.4333,68.41,85,15,9.55,PT,1632175065
Bathsheba,13.2167,-59.5167,86.61,66,40,9.22,BB,1632175065
Salalah,17.0151,54.0924,79.63,82,13,3.62,OM,1632175066
Severo-Kuril'sk,50.6789,156.125,48.79,80,44,29.86,RU,1632175066
Frankfort,-27.2667,28.4833,55.33,22,0,4.14,ZA,1632175067
Ust-Nera,64.5667,143.2,29.21,76,35,5.75,RU,1632175068
Lebu,-37.6167,-73.65,51.42,79,0,21.41,CL,1632175068
Moose Factory,51.2585,-80.6094,84.2,54,1,13.8,CA,1632175069
Udachny,66.4167,112.4,35.17,66,100,7.14,RU,1632175069
Ko Samui,9.5357,99.9357,80.82,79,100,15.03,TH,1632175070
San Rafael,-34.6177,-68.3301,61.57,23,8,9.15,AR,1632175070
Tasiilaq,65.6145,-37.6368,28.36,76,70,8.08,GL,1632175071
Ancud,-41.8697,-73.8203,53.13,73,3,3.09,CL,1632175071
Ayan,56.45,138.1667,43.72,60,28,16.24,RU,1632175072
Sazonovo,59.0919,35.2268,37.71,78,100,9.37,RU,1632175073
Bilma,18.6853,12.9164,87.96,13,0,5.14,NE,1632175073
Imeni Poliny Osipenko,52.4201,136.4853,47.34,82,79,4.03,RU,1632175073
Bubaque,11.2833,-15.8333,81.86,83,100,12.64,GW,1632175074
Clarence Town,-32.5833,151.7833,55.31,56,7,10.47,AU,1632175074
Ponta do Sol,32.6667,-17.1,72.23,80,37,4.68,PT,1632175076
Aswān,24.0934,32.907,90.7,17,0,9.22,EG,1632175076
Khovd,48.0056,91.6419,45.39,25,1,5.91,MN,1632175077
Båtsfjord,70.6345,29.7185,43.02,77,29,23.31,NO,1632175077
Fukuechō,32.6881,128.8419,77.61,80,3,14.58,JP,1632175078
Ranong,9.9658,98.6348,76.82,90,100,6.31,TH,1632175078
Vestmanna,62.1564,-7.1664,50.92,76,75,27.63,FO,1632175079
Beloha,-25.1667,45.05,63.86,74,0,8.88,MG,1632175079
Saint George,37.1041,-113.5841,88.27,16,0,1.01,US,1632175080
Tessalit,20.1986,1.0114,93.25,9,0,9.13,ML,1632175081
Half Moon Bay,37.4636,-122.4286,87.71,60,1,16.11,US,1632175081
Guerrero Negro,27.9769,-114.0611,80.02,48,0,12.35,MX,1632175082
Chicama,-7.8447,-79.1469,63.14,68,5,9.01,PE,1632175082
Sigiriya,7.9518,80.7426,75.87,85,70,9.57,LK,1632175083
Codrington,-38.2667,141.9667,49.42,56,98,18.25,AU,1632175083
Acapulco de Juárez,16.8634,-99.8901,84.42,71,86,6.69,MX,1632175083
Port Macquarie,-31.4333,152.9167,51.76,54,69,14.41,AU,1632175069
Naze,28.3667,129.4833,68.92,79,0,0.83,JP,1632175084
Los Llanos de Aridane,28.6585,-17.9182,71.35,69,75,11.5,ES,1632175084
East London,-33.0153,27.9116,58.55,48,55,23.67,ZA,1632175085
Motomachi,43.8228,144.1044,56.8,82,89,5.32,JP,1632175086
Airai,-8.9266,125.4092,58.35,62,93,4.16,TL,1632175086
Iquique,-20.2208,-70.1431,59.04,78,78,3.98,CL,1632174838
Broome,42.2506,-75.833,72.37,69,15,6.11,US,1632175087
Norman Wells,65.282,-126.8329,53.64,54,20,13.8,CA,1632175087
Itarema,-2.9248,-39.9167,78.62,80,10,15.61,BR,1632175088
Nhulunbuy,-12.2333,136.7667,77.61,83,40,8.05,AU,1632174917
Denham Springs,30.4869,-90.9562,89.46,66,33,1.59,US,1632175089
Tuatapere,-46.1333,167.6833,46.27,89,100,5.46,NZ,1632175089
Solomenskoye,44.2167,44.3528,62.65,61,38,1.23,RU,1632175090
Cayenne,4.9333,-52.3333,84.24,74,75,4.61,GF,1632175090
Catemaco,18.4167,-95.1167,82.63,77,92,3.18,MX,1632175091
Yulara,-25.2406,130.9889,51.64,37,1,12.66,AU,1632175091
Nome,64.5011,-165.4064,38.98,52,32,14.32,US,1632175091
Longyearbyen,78.2186,15.6401,42.64,93,90,1.14,SJ,1632175092
Hong Kong,22.2855,114.1577,84.18,80,38,2.62,HK,1632174946
Korsholm,63.1142,21.6822,30.15,100,0,2.3,FI,1632175092
San Quintín,30.4833,-115.95,74.28,62,1,10.0,MX,1632174926
Sawtell,-30.3833,153.1,62.92,67,43,10.36,AU,1632175093
Touros,-5.1989,-35.4608,79.7,72,74,16.73,BR,1632175094
Te Anau,-45.4167,167.7167,43.48,98,100,1.14,NZ,1632175094
Sukumo,32.9333,132.7333,72.93,85,36,7.78,JP,1632175095
Aktash,50.3,87.7333,22.03,74,6,3.67,RU,1632175095
Upernavik,72.7868,-56.1549,27.81,77,100,5.91,GL,1632175096
Mehamn,71.0357,27.8492,41.77,69,19,19.66,NO,1632175096
Trairi,-3.2778,-39.2689,78.46,78,10,11.32,BR,1632174956
Orlovka,44.6914,44.1744,65.41,67,85,2.73,RU,1632175097
Maragogi,-9.0122,-35.2225,75.07,72,51,8.95,BR,1632175097
Vysokogornyy,50.1167,139.15,44.73,73,92,2.17,RU,1632175098
Tynda,55.1667,124.7167,39.94,97,1,1.66,RU,1632175098
Padang,-0.9492,100.3543,73.45,88,77,3.58,ID,1632175099
Avera,33.194,-82.5271,76.51,96,100,11.45,US,1632175099
Zambezi,-13.5432,23.1047,69.49,21,1,5.53,ZM,1632175100
Labuhan,-6.8844,112.2051,77.5,83,100,5.55,ID,1632175100
Khani,41.9563,42.9566,53.17,83,0,6.02,GE,1632175101
Kindu,-2.95,25.95,73.17,82,97,2.59,CD,1632175101
Santa Quitéria,-4.3319,-40.1567,88.54,35,56,5.68,BR,1632175102
Marzuq,14.4,46.4667,78.42,59,100,5.06,YE,1632175102
Grand Forks,47.9417,-97.4337,62.28,38,100,12.77,US,1632175103
Santa Fe,-31.6333,-60.7,70.05,56,31,14.38,AR,1632175103
Den Helder,52.9599,4.7593,60.78,67,75,5.75,NL,1632175104
Abu Kamal,34.4506,40.9171,83.25,30,0,11.72,SY,1632175104
Ketchikan,55.3422,-131.6461,51.67,94,100,15.03,US,1632175057
Cockburn Town,21.4612,-71.1419,85.96,66,40,12.66,TC,1632175105
Dawlatabad,36.4141,64.9053,68.32,24,0,4.52,AF,1632175105
Chizhou,30.6578,117.4831,65.5,90,0,4.83,CN,1632175106
Fort-Shevchenko,44.5086,50.263,69.85,49,93,14.36,KZ,1632175106
Saint-Joseph,-21.3667,55.6167,66.58,80,85,13.96,RE,1632175107
São Filipe,14.8961,-24.4956,80.31,83,43,3.22,CV,1632175108
Vila Velha,-20.3297,-40.2925,75.15,78,40,9.22,BR,1632174920
Chazuta,-6.5742,-76.1367,97.65,68,88,0.78,PE,1632175108
Umluj,25.0213,37.2685,88.72,48,56,8.39,SA,1632175109
Solnechnyy,50.7214,136.6319,47.71,72,72,3.98,RU,1632175109
Nara,34.6851,135.8049,72.72,77,0,6.04,JP,1632175110
Pecos,31.4229,-103.4932,100.49,16,1,11.5,US,1632175110
Yerbogachën,61.2767,108.0108,47.73,84,100,6.31,RU,1632175110
Ust-Tsilma,65.441,52.1498,33.82,91,98,4.25,RU,1632175111
Birin,26.8865,88.0718,60.44,92,9,3.27,NP,1632175111
San Policarpo,12.1791,125.5072,79.81,82,56,5.08,PH,1632175112
Raja,8.4596,25.678,69.73,96,22,3.74,SS,1632175112
Kidal,18.4411,1.4078,92.98,10,0,11.27,ML,1632175113
Arlit,18.7369,7.3853,93.38,10,0,9.35,NE,1632175113
Chiredzi,-21.05,31.6667,65.77,37,0,5.03,ZW,1632175114
Hamada,34.8833,132.0833,69.67,78,10,6.04,JP,1632175114
Vao,-22.6667,167.4833,69.84,64,94,18.25,NC,1632175115
Oranjemund,-28.55,16.4333,55.24,79,4,21.32,NA,1632175115
Laguna,38.421,-121.4238,89.42,17,1,8.05,US,1632175116
Nikel,69.4128,30.222,37.58,84,12,11.92,RU,1632175116
La Providencia,28.7167,-111.5833,95.25,44,2,12.84,MX,1632175117
Olafsvik,64.8945,-23.7142,44.8,74,95,5.57,IS,1632175117
Inhambane,-23.865,35.3833,68.04,74,2,10.71,MZ,1632175118
Moerai,-22.4333,-151.3333,74.8,79,7,10.76,PF,1632175118
Bud,39.447,-86.1758,78.85,82,87,16.04,US,1632175119
Doha,25.2867,51.5333,91.38,46,0,9.22,QA,1632175093
Warwick,41.7001,-71.4162,66.2,65,0,7.09,US,1632174966
Grodków,50.6984,17.3845,42.22,83,45,1.97,PL,1632175120
Cabedelo,-6.9811,-34.8339,77.67,74,38,14.27,BR,1632175120
Grand Island,40.925,-98.342,69.58,45,40,18.43,US,1632175082
Kitui,-1.367,38.0106,62.8,86,37,8.05,KE,1632175121
Clyde River,70.4692,-68.5914,30.43,80,20,12.66,CA,1632175121
Chifeng,42.2683,118.9636,53.71,90,100,20.78,CN,1632175121
Leh,34.1667,77.5833,57.54,51,91,4.97,IN,1632175122
Broken Hill,-31.95,141.4333,38.91,75,2,10.36,AU,1632175079
Pangnirtung,66.1451,-65.7125,33.8,75,75,8.05,CA,1632175123
Dolgoderevenskoye,55.3444,61.3444,43.14,75,20,6.71,RU,1632175123
Castro,-24.7911,-50.0119,72.95,53,50,2.33,BR,1632175124
Guymon,36.6828,-101.4816,80.55,19,0,16.2,US,1632175124
San Cristobal,7.7669,-72.225,80.78,80,89,4.21,VE,1632175125
Tymovskoye,50.8456,142.655,46.22,93,14,4.25,RU,1632175125
Sørland,67.667,12.6934,47.05,84,100,23.8,NO,1632175126
Vostok,46.4856,135.8833,46.6,97,100,3.94,RU,1632175126
Sokoto,13.0609,5.239,82.85,62,53,9.33,NG,1632175126
Ṭikāpur,28.5,81.1333,79.18,82,96,3.71,NP,1632175127
Iqaluit,63.7506,-68.5145,31.73,74,90,9.22,CA,1632175127
Campbell River,50.0163,-125.2446,56.73,94,90,11.5,CA,1632175104
Rørvik,64.8621,11.2373,48.61,69,100,28.01,NO,1632175128
Vanavara,60.34,102.2797,39.88,90,100,11.88,RU,1632175129
Izhma,65.0083,53.9113,34.45,91,99,4.56,RU,1632175129
Aklavik,68.2191,-135.0107,52.52,73,100,15.82,CA,1632175130
Yakeshi,49.2833,120.7333,46.67,78,100,5.12,CN,1632175130
Klaksvík,62.2266,-6.589,52.72,79,63,36.51,FO,1632175131
Vaitape,-16.5167,-151.75,78.73,70,27,12.1,PF,1632175132
Namatanai,-3.6667,152.4333,81.23,75,88,4.0,PG,1632175132
Pringsewu,-5.3582,104.9744,72.43,97,80,3.29,ID,1632175133
Monrovia,6.3005,-10.7969,77.86,83,90,4.99,LR,1632175133
Port Augusta,-32.5,137.7667,51.94,52,6,15.66,AU,1632175084
Marovoay,-16.1,46.6333,73.54,61,29,5.26,MG,1632175134
Inuvik,68.3499,-133.7218,52.56,48,75,2.3,CA,1632175134
Mareeba,-17.0,145.4333,65.12,63,99,1.43,AU,1632175135
Kiryat Gat,31.61,34.7642,79.48,68,0,4.56,IL,1632174904
Arraial do Cabo,-22.9661,-42.0278,71.56,88,20,24.16,BR,1632175135
Saint-Augustin,51.226,-58.6502,49.93,60,10,14.81,CA,1632175136
Mahébourg,-20.4081,57.7,70.09,68,75,13.8,MU,1632175136
Leshukonskoye,64.8989,45.7622,31.89,93,13,1.3,RU,1632175137
Balkanabat,39.5108,54.3671,77.61,22,0,12.41,TM,1632175137
Porangatu,-13.4408,-49.1486,90.14,14,11,4.52,BR,1632175138
Rio Grande,-32.035,-52.0986,68.11,99,99,5.61,BR,1632175138
Chitipa,-9.7024,33.2697,63.54,71,14,6.58,MW,1632175139
Decatur,39.8403,-88.9548,87.66,71,70,14.38,US,1632175139
Chokurdakh,70.6333,147.9167,26.37,76,97,7.34,RU,1632175140
Cabo San Lucas,22.8909,-109.9124,84.24,70,96,11.99,MX,1632174868
Hualmay,-11.0964,-77.6139,63.95,75,14,10.56,PE,1632175140
Linkuva,56.0856,23.9725,41.67,94,100,9.82,LT,1632175141
Saint-Pierre,-21.3393,55.4781,67.68,68,75,5.75,RE,1632175141
Alice Springs,-23.7,133.8833,51.35,40,9,11.5,AU,1632175027
Hastings,50.8552,0.5729,57.58,77,78,8.1,GB,1632175142
Poso,-1.3959,120.7524,74.79,94,100,2.57,ID,1632175142
Fort Nelson,58.8053,-122.7002,60.39,39,40,6.91,CA,1632175143
Seydi,39.4816,62.9137,65.93,15,0,10.54,TM,1632175143
João Câmara,-5.5375,-35.8197,78.04,72,74,15.3,BR,1632175144
Ferrol,43.4832,-8.2369,61.32,87,1,7.2,ES,1632175144
Ruwi,23.5996,58.5507,86.65,60,2,1.21,OM,1632175145
Kavieng,-2.5744,150.7967,82.15,73,100,6.04,PG,1632175145
Thompson,55.7435,-97.8558,53.76,62,75,13.8,CA,1632175146
Uyutnoye,45.1994,33.3014,61.92,65,91,13.22,UA,1632175146
Yining,29.0361,114.5636,64.45,85,0,1.9,CN,1632175147
Coahuayana Viejo,18.7333,-103.6833,86.18,70,36,4.74,MX,1632175147
Palmer,42.1584,-72.3287,67.62,69,4,4.63,US,1632175148
Nouakchott,18.0858,-15.9785,83.53,68,4,21.99,MR,1632175148
Lagoa,39.05,-27.9833,70.02,68,6,10.98,PT,1632175149
San Patricio,28.017,-97.5169,97.52,48,0,14.0,US,1632175149
Hudiksvall,61.729,17.1036,44.22,80,99,4.52,SE,1632175149
Colares,38.7992,-9.4469,69.48,77,0,17.81,PT,1632175150
Stettler,52.3168,-112.7186,62.35,36,8,11.5,CA,1632175150
Ciudad del Carmen,18.6333,-91.8333,88.56,59,53,0.25,MX,1632175151
Copiapó,-27.3667,-70.3333,55.09,35,0,5.79,CL,1632175151
Gongzhuling,43.5008,124.8198,57.9,91,100,15.95,CN,1632175152
Jalu,29.0331,21.5482,87.37,21,0,7.94,LY,1632175152
Hongjiang,27.11,109.9956,68.32,90,0,1.81,CN,1632175153
Guéret,46.1667,1.8667,54.23,98,83,1.19,FR,1632175153
Livingston,55.9029,-3.5226,53.96,88,20,10.36,GB,1632175154
Vincennes,48.85,2.4333,62.17,92,40,4.61,FR,1632175154
Murgab,37.4966,61.9714,66.07,42,0,4.61,TM,1632175155
Puerto Escondido,15.85,-97.0667,84.97,69,94,5.32,MX,1632175155
Hambantota,6.1241,81.1185,79.14,100,20,6.91,LK,1632175155
Rurrenabaque,-14.4413,-67.5278,90.81,38,70,2.28,BO,1632175156
Gijang,35.2442,129.2139,76.73,91,42,13.73,KR,1632175156
Tommot,58.9564,126.2925,32.29,93,1,3.06,RU,1632175157
Tyukhtet,56.5389,89.3011,36.55,92,100,9.22,RU,1632175157
Biak,-0.9131,122.8766,74.57,90,100,3.74,ID,1632175158
